Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail,Final_Score,Study_Hours_Group,Attendance_Group
S2892,17,Male,11,5.7,99,Graduate,Yes,Yes,70,68,94,72,77.33,Good,Pass,77.33,4-6 Hours,90-100%
S2893,18,Male,12,6.0,63,High School,No,Yes,67,71,71,66,69.67,Good,Pass,69.67,4-6 Hours,60-75%
S2894,15,Female,12,3.0,77,Graduate,No,Yes,95,74,94,59,87.67,Excellent,Pass,87.67,2-4 Hours,75-90%
S2895,17,Male,9,2.3,77,Graduate,No,No,95,51,84,61,76.67,Good,Pass,76.67,2-4 Hours,75-90%
S2896,16,Male,9,4.0,73,High School,Yes,Yes,51,66,77,62,64.67,Average,Pass,64.67,2-4 Hours,60-75%
S2897,17,Female,10,5.8,72,Postgraduate,No,No,86,68,59,41,71.0,Good,Pass,71.0,4-6 Hours,60-75%
S2898,16,Male,10,3.2,81,High School,Yes,No,67,47,71,48,61.67,Average,Pass,61.67,2-4 Hours,75-90%
S2899,19,Female,12,4.3,90,Postgraduate,No,Yes,96,100,62,82,86.0,Excellent,Pass,86.0,4-6 Hours,75-90%
S2900,19,Female,9,3.6,50,High School,No,Yes,61,80,90,68,77.0,Good,Pass,77.0,2-4 Hours,Below 60%
S2901,19,Male,10,3.6,73,High School,No,Yes,92,48,57,85,65.67,Average,Pass,65.67,2-4 Hours,60-75%
S2902,15,Female,10,3.1,76,High School,No,No,42,60,40,90,47.33,Poor,Fail,47.33,2-4 Hours,75-90%
S2903,19,Female,10,2.3,72,Postgraduate,No,Yes,52,75,83,51,70.0,Good,Pass,70.0,2-4 Hours,60-75%
S2904,14,Female,10,4.2,77,Postgraduate,Yes,Yes,67,42,100,61,69.67,Good,Pass,69.67,4-6 Hours,75-90%
S2905,17,Male,11,3.1,79,Graduate,Yes,No,54,94,93,43,80.33,Good,Pass,80.33,2-4 Hours,75-90%
S2906,14,Female,12,2.2,89,Graduate,Yes,Yes,85,56,99,71,80.0,Good,Pass,80.0,2-4 Hours,75-90%
S2907,16,Male,9,4.3,85,Graduate,No,No,81,52,71,84,68.0,Good,Pass,68.0,4-6 Hours,75-90%
S2908,19,Female,10,4.0,54,High School,Yes,No,73,71,83,61,75.67,Good,Pass,75.67,2-4 Hours,Below 60%
S2909,15,Female,9,2.2,93,Graduate,Yes,Yes,45,78,49,60,57.33,Average,Pass,57.33,2-4 Hours,90-100%
S2910,19,Male,11,4.8,92,High School,No,Yes,65,43,71,84,59.67,Average,Pass,59.67,4-6 Hours,90-100%
S2911,14,Female,9,5.2,72,Postgraduate,No,No,72,65,48,87,61.67,Average,Pass,61.67,4-6 Hours,60-75%
S2912,14,Female,9,3.6,55,Postgraduate,Yes,Yes,94,58,97,51,83.0,Excellent,Pass,83.0,2-4 Hours,Below 60%
S2913,19,Female,9,2.8,79,High School,No,Yes,55,44,57,66,52.0,Average,Pass,52.0,2-4 Hours,75-90%
S2914,17,Female,10,3.5,70,Graduate,No,No,88,52,91,52,77.0,Good,Pass,77.0,2-4 Hours,60-75%
S2915,19,Male,11,5.5,83,Graduate,Yes,Yes,78,56,82,92,72.0,Good,Pass,72.0,4-6 Hours,75-90%
S2916,17,Female,9,0.9,92,High School,Yes,No,45,38,75,73,52.67,Average,Pass,52.67,0-2 Hours,90-100%
S2917,17,Female,10,0.7,70,Graduate,Yes,Yes,41,49,66,89,52.0,Average,Pass,52.0,0-2 Hours,60-75%
S2918,15,Male,11,0.6,77,Graduate,No,Yes,65,53,87,58,68.33,Good,Pass,68.33,0-2 Hours,75-90%
S2919,16,Male,11,3.2,81,Graduate,No,No,42,87,60,93,63.0,Average,Pass,63.0,2-4 Hours,75-90%
S2920,18,Male,11,3.7,65,High School,No,Yes,51,57,35,81,47.67,Poor,Fail,47.67,2-4 Hours,60-75%
S2921,16,Female,11,1.4,57,Postgraduate,No,No,50,65,70,75,61.67,Average,Pass,61.67,0-2 Hours,Below 60%
S2922,17,Male,9,4.4,74,Graduate,Yes,No,78,82,71,61,77.0,Good,Pass,77.0,4-6 Hours,60-75%
S2923,15,Male,11,4.9,97,High School,Yes,No,78,61,88,68,75.67,Good,Pass,75.67,4-6 Hours,90-100%
S2924,14,Male,9,4.5,97,Postgraduate,Yes,Yes,71,35,98,48,68.0,Good,Pass,68.0,4-6 Hours,90-100%
S2925,16,Male,10,3.6,74,High School,Yes,No,80,76,82,41,79.33,Good,Pass,79.33,2-4 Hours,60-75%
S2926,17,Male,12,1.8,76,High School,No,Yes,78,45,59,62,60.67,Average,Pass,60.67,0-2 Hours,75-90%
S2927,14,Female,9,5.1,55,Graduate,Yes,No,63,93,77,49,77.67,Good,Pass,77.67,4-6 Hours,Below 60%
S2928,17,Male,9,1.5,97,Graduate,Yes,No,60,49,35,48,48.0,Poor,Fail,48.0,0-2 Hours,90-100%
S2929,17,Female,10,5.1,55,High School,Yes,Yes,53,88,50,59,63.67,Average,Pass,63.67,4-6 Hours,Below 60%
S2930,17,Male,9,4.6,65,Postgraduate,Yes,Yes,46,97,37,75,60.0,Average,Pass,60.0,4-6 Hours,60-75%
S2931,16,Male,11,2.5,76,Postgraduate,Yes,Yes,94,78,99,74,90.33,Excellent,Pass,90.33,2-4 Hours,75-90%
S2932,17,Female,12,5.1,69,Graduate,Yes,No,38,39,95,67,57.33,Average,Pass,57.33,4-6 Hours,60-75%
S2933,15,Female,9,2.2,59,Graduate,Yes,Yes,88,57,41,69,62.0,Average,Pass,62.0,2-4 Hours,Below 60%
S2934,17,Male,11,5.0,50,Postgraduate,No,Yes,56,52,43,59,50.33,Average,Pass,50.33,4-6 Hours,Below 60%
S2935,15,Male,9,1.4,80,Postgraduate,No,No,97,81,96,45,91.33,Excellent,Pass,91.33,0-2 Hours,75-90%
S2936,18,Male,11,3.3,97,Graduate,No,No,50,47,72,59,56.33,Average,Pass,56.33,2-4 Hours,90-100%
S2937,18,Male,11,5.8,74,Postgraduate,Yes,No,41,74,93,65,69.33,Good,Pass,69.33,4-6 Hours,60-75%
S2938,15,Male,9,2.0,80,Postgraduate,No,Yes,97,48,66,77,70.33,Good,Pass,70.33,0-2 Hours,75-90%
S2939,15,Male,10,5.9,81,Graduate,Yes,Yes,75,45,65,90,61.67,Average,Pass,61.67,4-6 Hours,75-90%
S2940,14,Male,11,1.2,62,Graduate,Yes,No,60,99,52,91,70.33,Good,Pass,70.33,0-2 Hours,60-75%
S2941,14,Female,12,3.5,69,Graduate,Yes,No,81,53,64,42,66.0,Good,Pass,66.0,2-4 Hours,60-75%
S2942,17,Male,11,2.3,80,Graduate,Yes,No,92,59,60,45,70.33,Good,Pass,70.33,2-4 Hours,75-90%
S2943,18,Female,11,4.2,81,Graduate,Yes,Yes,62,58,66,43,62.0,Average,Pass,62.0,4-6 Hours,75-90%
S2944,18,Male,11,3.6,67,Graduate,No,Yes,63,85,85,44,77.67,Good,Pass,77.67,2-4 Hours,60-75%
S2945,19,Male,12,3.9,54,Graduate,No,No,90,52,93,91,78.33,Good,Pass,78.33,2-4 Hours,Below 60%
S2946,16,Male,9,1.6,68,Graduate,Yes,Yes,46,69,39,59,51.33,Average,Pass,51.33,0-2 Hours,60-75%
S2947,18,Male,11,5.3,84,High School,No,Yes,89,94,49,74,77.33,Good,Pass,77.33,4-6 Hours,75-90%
S2948,16,Female,10,3.6,58,Graduate,No,Yes,73,88,69,86,76.67,Good,Pass,76.67,2-4 Hours,Below 60%
S2949,15,Female,10,0.7,95,Graduate,No,No,69,81,40,74,63.33,Average,Pass,63.33,0-2 Hours,90-100%
S2950,19,Male,10,3.9,97,High School,No,Yes,92,37,77,87,68.67,Good,Pass,68.67,2-4 Hours,90-100%
S2951,19,Male,10,6.0,88,High School,Yes,Yes,71,57,56,94,61.33,Average,Pass,61.33,4-6 Hours,75-90%
S2952,14,Female,9,5.7,74,Postgraduate,No,No,80,60,54,91,64.67,Average,Pass,64.67,4-6 Hours,60-75%
S2953,15,Male,9,2.8,93,High School,No,No,89,98,39,83,75.33,Good,Pass,75.33,2-4 Hours,90-100%
S2954,17,Female,12,2.2,66,Postgraduate,Yes,Yes,98,55,90,81,81.0,Excellent,Pass,81.0,2-4 Hours,60-75%
S2955,19,Female,9,5.9,73,Postgraduate,Yes,No,95,45,56,65,65.33,Average,Pass,65.33,4-6 Hours,60-75%
S2956,17,Male,12,1.1,51,High School,No,Yes,37,83,39,73,53.0,Average,Pass,53.0,0-2 Hours,Below 60%
S2957,18,Male,12,3.9,91,Postgraduate,Yes,Yes,59,97,97,51,84.33,Excellent,Pass,84.33,2-4 Hours,90-100%
S2958,16,Male,9,5.0,67,Postgraduate,Yes,Yes,68,47,92,65,69.0,Good,Pass,69.0,4-6 Hours,60-75%
S2959,18,Male,10,2.0,97,Postgraduate,No,Yes,83,72,69,89,74.67,Good,Pass,74.67,0-2 Hours,90-100%
S2960,19,Male,12,4.0,71,High School,No,Yes,39,95,76,51,70.0,Good,Pass,70.0,2-4 Hours,60-75%
S2961,14,Male,12,5.2,69,Postgraduate,No,Yes,90,37,57,69,61.33,Average,Pass,61.33,4-6 Hours,60-75%
S2962,18,Female,12,4.3,56,High School,Yes,No,66,65,84,53,71.67,Good,Pass,71.67,4-6 Hours,Below 60%
S2963,19,Male,9,1.5,78,Postgraduate,Yes,No,83,50,91,68,74.67,Good,Pass,74.67,0-2 Hours,75-90%
S2964,15,Female,12,3.3,61,Graduate,No,Yes,76,45,35,89,52.0,Average,Pass,52.0,2-4 Hours,60-75%
S2965,14,Female,9,1.9,94,High School,Yes,Yes,83,82,56,69,73.67,Good,Pass,73.67,0-2 Hours,90-100%
S2966,17,Male,12,4.3,71,High School,No,Yes,71,67,90,40,76.0,Good,Pass,76.0,4-6 Hours,60-75%
S2967,14,Female,10,2.0,59,High School,Yes,No,38,65,36,62,46.33,Poor,Fail,46.33,0-2 Hours,Below 60%
S2968,18,Male,10,0.6,81,High School,No,No,73,67,72,44,70.67,Good,Pass,70.67,0-2 Hours,75-90%
S2969,14,Female,10,2.7,89,High School,No,No,61,67,76,90,68.0,Good,Pass,68.0,2-4 Hours,75-90%
S2970,19,Female,9,0.7,54,Postgraduate,No,No,86,76,91,41,84.33,Excellent,Pass,84.33,0-2 Hours,Below 60%
S2971,19,Female,11,1.3,90,High School,No,Yes,52,87,84,43,74.33,Good,Pass,74.33,0-2 Hours,75-90%
S2972,15,Female,12,3.2,53,Postgraduate,No,Yes,98,89,49,80,78.67,Good,Pass,78.67,2-4 Hours,Below 60%
S2973,14,Male,12,4.4,95,High School,No,Yes,64,42,87,40,64.33,Average,Pass,64.33,4-6 Hours,90-100%
S2974,17,Female,9,0.8,53,Graduate,Yes,No,69,55,99,51,74.33,Good,Pass,74.33,0-2 Hours,Below 60%
S2975,15,Female,10,3.9,64,High School,Yes,Yes,73,98,81,90,84.0,Excellent,Pass,84.0,2-4 Hours,60-75%
S2976,19,Female,12,2.4,78,Postgraduate,Yes,Yes,83,83,71,51,79.0,Good,Pass,79.0,2-4 Hours,75-90%
S2977,16,Male,9,1.7,67,High School,Yes,Yes,66,94,44,95,68.0,Good,Pass,68.0,0-2 Hours,60-75%
S2978,14,Female,9,4.9,63,High School,Yes,No,39,65,95,81,66.33,Good,Pass,66.33,4-6 Hours,60-75%
S2979,19,Female,10,1.2,59,Postgraduate,No,Yes,38,93,68,56,66.33,Good,Pass,66.33,0-2 Hours,Below 60%
S2980,14,Male,12,1.9,69,Graduate,Yes,Yes,65,67,63,58,65.0,Average,Pass,65.0,0-2 Hours,60-75%
S2981,17,Male,9,2.8,90,High School,Yes,No,62,41,100,95,67.67,Good,Pass,67.67,2-4 Hours,75-90%
S2982,19,Male,11,2.7,59,Graduate,Yes,Yes,78,49,43,88,56.67,Average,Pass,56.67,2-4 Hours,Below 60%
S2983,14,Male,10,3.2,97,Graduate,Yes,Yes,94,64,100,75,86.0,Excellent,Pass,86.0,2-4 Hours,90-100%
S2984,14,Female,12,2.5,99,Graduate,Yes,Yes,80,63,93,83,78.67,Good,Pass,78.67,2-4 Hours,90-100%
S2985,18,Male,9,1.1,54,Graduate,No,No,88,62,69,49,73.0,Good,Pass,73.0,0-2 Hours,Below 60%
S2986,15,Female,9,2.8,64,High School,Yes,No,54,73,65,51,64.0,Average,Pass,64.0,2-4 Hours,60-75%
S2987,14,Male,11,2.8,62,Postgraduate,Yes,Yes,72,59,48,63,59.67,Average,Pass,59.67,2-4 Hours,60-75%
S2988,15,Male,11,3.1,59,Graduate,Yes,No,88,76,99,65,87.67,Excellent,Pass,87.67,2-4 Hours,Below 60%
S2989,14,Female,9,1.0,92,High School,No,Yes,44,40,85,53,56.33,Average,Pass,56.33,0-2 Hours,90-100%
S2990,16,Male,9,2.4,55,Graduate,Yes,No,87,54,45,69,62.0,Average,Pass,62.0,2-4 Hours,Below 60%
S2991,15,Male,9,5.1,75,Graduate,Yes,No,72,89,98,80,86.33,Excellent,Pass,86.33,4-6 Hours,60-75%
S2992,15,Male,12,2.4,56,Graduate,Yes,Yes,40,97,44,42,60.33,Average,Pass,60.33,2-4 Hours,Below 60%
S2993,18,Male,11,0.8,54,Graduate,Yes,No,96,69,96,62,87.0,Excellent,Pass,87.0,0-2 Hours,Below 60%
S2994,18,Male,9,4.3,56,High School,Yes,Yes,64,82,58,89,68.0,Good,Pass,68.0,4-6 Hours,Below 60%
S2995,18,Male,9,6.0,94,Graduate,Yes,Yes,93,72,45,90,70.0,Good,Pass,70.0,4-6 Hours,90-100%
S2996,18,Female,10,2.8,59,Postgraduate,Yes,No,88,57,36,66,60.33,Average,Pass,60.33,2-4 Hours,Below 60%
S2997,15,Female,10,0.6,78,Graduate,No,Yes,66,82,47,44,65.0,Average,Pass,65.0,0-2 Hours,75-90%
S2998,16,Female,12,4.7,74,High School,Yes,Yes,65,94,43,57,67.33,Good,Pass,67.33,4-6 Hours,60-75%
S2999,19,Female,10,3.0,92,High School,No,No,54,62,56,54,57.33,Average,Pass,57.33,2-4 Hours,90-100%
S3000,19,Male,9,5.3,70,High School,Yes,Yes,52,64,65,60,60.33,Average,Pass,60.33,4-6 Hours,60-75%
S3001,17,Male,12,3.8,83,Postgraduate,No,No,59,70,85,69,71.33,Good,Pass,71.33,2-4 Hours,75-90%
S3002,14,Male,11,3.3,92,Postgraduate,Yes,No,94,82,48,54,74.67,Good,Pass,74.67,2-4 Hours,90-100%
S3003,14,Female,12,3.9,67,Graduate,Yes,Yes,68,94,90,55,84.0,Excellent,Pass,84.0,2-4 Hours,60-75%
S3004,18,Female,10,2.8,67,High School,No,Yes,79,37,41,89,52.33,Average,Pass,52.33,2-4 Hours,60-75%
S3005,18,Female,9,2.9,92,High School,Yes,Yes,63,62,95,64,73.33,Good,Pass,73.33,2-4 Hours,90-100%
S3006,19,Female,9,5.6,85,Postgraduate,No,Yes,35,41,53,79,43.0,Poor,Fail,43.0,4-6 Hours,75-90%
S3007,18,Male,11,2.2,68,Graduate,Yes,Yes,85,86,57,60,76.0,Good,Pass,76.0,2-4 Hours,60-75%
S3008,16,Female,9,1.9,65,High School,No,Yes,57,97,82,76,78.67,Good,Pass,78.67,0-2 Hours,60-75%
S3009,19,Female,10,1.0,50,Postgraduate,Yes,Yes,49,57,62,84,56.0,Average,Pass,56.0,0-2 Hours,Below 60%
S3010,15,Female,10,4.8,50,High School,No,Yes,75,69,72,60,72.0,Good,Pass,72.0,4-6 Hours,Below 60%
S3011,14,Male,9,2.1,61,Postgraduate,Yes,Yes,77,67,57,95,67.0,Good,Pass,67.0,2-4 Hours,60-75%
S3012,16,Male,12,3.0,57,High School,No,No,94,99,52,65,81.67,Excellent,Pass,81.67,2-4 Hours,Below 60%
S3013,18,Male,11,4.3,53,Graduate,No,Yes,71,62,40,57,57.67,Average,Pass,57.67,4-6 Hours,Below 60%
S3014,18,Female,10,1.9,65,Postgraduate,No,Yes,42,74,62,72,59.33,Average,Pass,59.33,0-2 Hours,60-75%
S3015,14,Female,12,3.4,72,Graduate,Yes,No,42,72,38,53,50.67,Average,Pass,50.67,2-4 Hours,60-75%
S3016,15,Female,11,5.5,78,High School,No,No,69,55,35,95,53.0,Average,Pass,53.0,4-6 Hours,75-90%
S3017,15,Female,10,5.6,93,Graduate,Yes,No,96,67,91,84,84.67,Excellent,Pass,84.67,4-6 Hours,90-100%
S3018,14,Female,9,3.3,96,Postgraduate,Yes,No,71,53,70,85,64.67,Average,Pass,64.67,2-4 Hours,90-100%
S3019,16,Female,11,2.2,71,Postgraduate,Yes,No,75,80,62,83,72.33,Good,Pass,72.33,2-4 Hours,60-75%
S3020,16,Male,10,5.6,61,High School,No,No,83,51,88,76,74.0,Good,Pass,74.0,4-6 Hours,60-75%
S3021,15,Female,11,4.3,64,High School,No,Yes,70,51,100,87,73.67,Good,Pass,73.67,4-6 Hours,60-75%
S3022,15,Female,10,4.5,71,Postgraduate,Yes,No,57,57,99,44,71.0,Good,Pass,71.0,4-6 Hours,60-75%
S3023,17,Male,12,3.0,74,Graduate,No,Yes,100,35,95,71,76.67,Good,Pass,76.67,2-4 Hours,60-75%
S3024,17,Female,10,5.0,94,Graduate,No,No,46,38,75,54,53.0,Average,Pass,53.0,4-6 Hours,90-100%
S3025,16,Male,12,4.3,61,Postgraduate,No,No,46,59,84,69,63.0,Average,Pass,63.0,4-6 Hours,60-75%
S3026,14,Female,10,1.9,80,High School,No,Yes,54,77,82,60,71.0,Good,Pass,71.0,0-2 Hours,75-90%
S3027,15,Female,12,3.7,67,Graduate,Yes,Yes,79,65,71,47,71.67,Good,Pass,71.67,2-4 Hours,60-75%
S3028,17,Male,9,0.9,91,High School,Yes,Yes,80,89,69,61,79.33,Good,Pass,79.33,0-2 Hours,90-100%
S3029,17,Female,10,4.0,83,High School,Yes,Yes,98,57,49,73,68.0,Good,Pass,68.0,2-4 Hours,75-90%
S3030,17,Female,11,4.2,76,High School,No,No,50,48,81,72,59.67,Average,Pass,59.67,4-6 Hours,75-90%
S3031,17,Male,10,1.0,67,Postgraduate,Yes,Yes,72,86,97,86,85.0,Excellent,Pass,85.0,0-2 Hours,60-75%
S3032,15,Female,11,5.2,81,High School,No,No,51,37,100,87,62.67,Average,Pass,62.67,4-6 Hours,75-90%
S3033,14,Male,12,1.6,53,Postgraduate,Yes,Yes,66,43,63,85,57.33,Average,Pass,57.33,0-2 Hours,Below 60%
S3034,14,Male,10,2.5,74,High School,Yes,Yes,45,48,56,88,49.67,Poor,Fail,49.67,2-4 Hours,60-75%
S3035,18,Male,12,4.0,71,Postgraduate,No,No,87,83,79,74,83.0,Excellent,Pass,83.0,2-4 Hours,60-75%
S3036,14,Female,10,2.7,81,Graduate,No,Yes,47,84,93,69,74.67,Good,Pass,74.67,2-4 Hours,75-90%
S3037,16,Male,9,1.7,70,Postgraduate,No,Yes,78,87,88,70,84.33,Excellent,Pass,84.33,0-2 Hours,60-75%
S3038,19,Male,12,3.4,76,High School,Yes,No,77,39,69,95,61.67,Average,Pass,61.67,2-4 Hours,75-90%
S3039,16,Male,10,3.1,76,Postgraduate,No,No,77,36,65,79,59.33,Average,Pass,59.33,2-4 Hours,75-90%
S3040,16,Female,11,1.4,98,High School,Yes,Yes,47,79,52,84,59.33,Average,Pass,59.33,0-2 Hours,90-100%
S3041,16,Male,11,5.2,84,High School,No,No,39,49,61,53,49.67,Poor,Fail,49.67,4-6 Hours,75-90%
S3042,19,Male,10,1.3,100,Postgraduate,Yes,Yes,84,37,71,72,64.0,Average,Pass,64.0,0-2 Hours,90-100%
S3043,18,Female,10,5.4,81,High School,No,No,55,58,71,55,61.33,Average,Pass,61.33,4-6 Hours,75-90%
S3044,19,Female,11,4.7,71,High School,No,Yes,43,44,54,61,47.0,Poor,Fail,47.0,4-6 Hours,60-75%
S3045,14,Male,10,0.7,71,Postgraduate,Yes,No,72,74,78,85,74.67,Good,Pass,74.67,0-2 Hours,60-75%
S3046,18,Female,12,1.3,78,High School,No,Yes,92,77,97,69,88.67,Excellent,Pass,88.67,0-2 Hours,75-90%
S3047,14,Male,9,1.9,52,Postgraduate,No,Yes,91,42,89,82,74.0,Good,Pass,74.0,0-2 Hours,Below 60%
S3048,15,Male,11,4.3,78,High School,No,Yes,51,56,58,52,55.0,Average,Pass,55.0,4-6 Hours,75-90%
S3049,16,Female,10,2.3,56,Postgraduate,No,Yes,75,41,47,87,54.33,Average,Pass,54.33,2-4 Hours,Below 60%
S3050,14,Female,11,2.0,96,Graduate,No,No,84,61,62,77,69.0,Good,Pass,69.0,0-2 Hours,90-100%
S3051,15,Female,9,4.5,51,Postgraduate,No,Yes,97,79,52,77,76.0,Good,Pass,76.0,4-6 Hours,Below 60%
S3052,15,Female,10,1.6,57,High School,Yes,Yes,71,50,88,74,69.67,Good,Pass,69.67,0-2 Hours,Below 60%
S3053,19,Male,9,5.8,67,Graduate,Yes,Yes,54,79,64,93,65.67,Average,Pass,65.67,4-6 Hours,60-75%
S3054,14,Female,9,2.2,82,Postgraduate,No,Yes,82,68,79,50,76.33,Good,Pass,76.33,2-4 Hours,75-90%
S3055,15,Female,10,1.7,50,Postgraduate,No,Yes,82,98,86,47,88.67,Excellent,Pass,88.67,0-2 Hours,Below 60%
S3056,19,Male,9,6.0,50,Postgraduate,Yes,No,43,62,49,80,51.33,Average,Pass,51.33,4-6 Hours,Below 60%
S3057,19,Male,11,3.6,66,High School,Yes,Yes,41,96,42,57,59.67,Average,Pass,59.67,2-4 Hours,60-75%
S3058,16,Female,12,5.9,57,High School,Yes,No,54,42,70,78,55.33,Average,Pass,55.33,4-6 Hours,Below 60%
S3059,15,Male,10,5.0,90,High School,No,No,83,39,81,40,67.67,Good,Pass,67.67,4-6 Hours,75-90%
S3060,15,Male,10,0.7,77,Graduate,No,Yes,92,82,54,93,76.0,Good,Pass,76.0,0-2 Hours,75-90%
S3061,16,Male,9,5.1,82,High School,Yes,Yes,75,90,84,86,83.0,Excellent,Pass,83.0,4-6 Hours,75-90%
S3062,18,Male,9,0.9,77,Postgraduate,No,Yes,43,53,97,72,64.33,Average,Pass,64.33,0-2 Hours,75-90%
S3063,16,Male,12,1.6,63,High School,Yes,No,47,91,85,82,74.33,Good,Pass,74.33,0-2 Hours,60-75%
S3064,14,Female,10,3.3,60,Postgraduate,No,No,92,49,68,80,69.67,Good,Pass,69.67,2-4 Hours,Below 60%
S3065,18,Female,11,0.7,55,Graduate,No,Yes,89,86,56,89,77.0,Good,Pass,77.0,0-2 Hours,Below 60%
S3066,19,Female,12,5.7,61,Postgraduate,No,Yes,91,58,66,90,71.67,Good,Pass,71.67,4-6 Hours,60-75%
S3067,15,Male,12,1.0,77,High School,No,No,60,36,83,71,59.67,Average,Pass,59.67,0-2 Hours,75-90%
S3068,16,Female,11,5.5,78,Graduate,Yes,Yes,38,98,71,80,69.0,Good,Pass,69.0,4-6 Hours,75-90%
S3069,17,Female,11,2.3,79,High School,No,No,39,64,46,50,49.67,Poor,Fail,49.67,2-4 Hours,75-90%
S3070,19,Female,10,2.1,81,Postgraduate,No,No,74,86,39,54,66.33,Good,Pass,66.33,2-4 Hours,75-90%
S3071,17,Male,11,1.5,64,High School,Yes,Yes,76,48,50,58,58.0,Average,Pass,58.0,0-2 Hours,60-75%
S3072,16,Male,12,1.6,56,High School,No,No,53,89,68,45,70.0,Good,Pass,70.0,0-2 Hours,Below 60%
S3073,17,Male,12,2.7,53,High School,Yes,No,55,86,62,74,67.67,Good,Pass,67.67,2-4 Hours,Below 60%
S3074,18,Male,10,1.4,64,High School,No,No,70,42,69,40,60.33,Average,Pass,60.33,0-2 Hours,60-75%
S3075,19,Female,12,1.4,97,Postgraduate,No,No,74,72,60,40,68.67,Good,Pass,68.67,0-2 Hours,90-100%
S3076,18,Female,12,5.7,83,Graduate,No,No,70,74,50,88,64.67,Average,Pass,64.67,4-6 Hours,75-90%
S3077,15,Female,12,5.2,87,Postgraduate,Yes,No,45,69,89,52,67.67,Good,Pass,67.67,4-6 Hours,75-90%
S3078,18,Female,11,1.6,81,Graduate,Yes,No,55,50,55,47,53.33,Average,Pass,53.33,0-2 Hours,75-90%
S3079,14,Female,9,1.3,89,High School,Yes,No,70,78,99,79,82.33,Excellent,Pass,82.33,0-2 Hours,75-90%
S3080,18,Female,12,5.7,90,High School,Yes,Yes,71,43,89,92,67.67,Good,Pass,67.67,4-6 Hours,75-90%
S3081,14,Female,10,2.4,80,Graduate,No,Yes,56,41,94,84,63.67,Average,Pass,63.67,2-4 Hours,75-90%
S3082,19,Female,9,5.4,59,Postgraduate,No,No,77,100,80,75,85.67,Excellent,Pass,85.67,4-6 Hours,Below 60%
S3083,17,Male,10,5.2,65,Graduate,No,Yes,99,37,98,58,78.0,Good,Pass,78.0,4-6 Hours,60-75%
S3084,19,Male,9,2.2,82,High School,No,No,62,68,43,87,57.67,Average,Pass,57.67,2-4 Hours,75-90%
S3085,19,Male,10,2.4,56,High School,Yes,Yes,58,37,36,56,43.67,Poor,Fail,43.67,2-4 Hours,Below 60%
S3086,17,Female,12,4.4,85,High School,No,No,44,55,65,68,54.67,Average,Pass,54.67,4-6 Hours,75-90%
S3087,17,Male,9,1.7,60,High School,Yes,No,56,70,93,45,73.0,Good,Pass,73.0,0-2 Hours,Below 60%
S3088,16,Male,11,1.3,94,Postgraduate,No,No,42,65,91,75,66.0,Good,Pass,66.0,0-2 Hours,90-100%
S3089,17,Male,12,2.3,82,High School,No,Yes,39,99,79,88,72.33,Good,Pass,72.33,2-4 Hours,75-90%
S3090,14,Male,12,4.1,76,Graduate,No,Yes,80,47,74,93,67.0,Good,Pass,67.0,4-6 Hours,75-90%
S3091,19,Male,9,5.1,82,Graduate,No,No,44,36,35,91,38.33,Poor,Fail,38.33,4-6 Hours,75-90%
S3092,14,Male,9,2.4,60,Graduate,No,No,72,90,100,69,87.33,Excellent,Pass,87.33,2-4 Hours,Below 60%
S3093,18,Male,11,2.2,80,High School,No,No,77,93,44,74,71.33,Good,Pass,71.33,2-4 Hours,75-90%
S3094,19,Female,10,0.6,88,Postgraduate,No,Yes,97,73,63,74,77.67,Good,Pass,77.67,0-2 Hours,75-90%
S3095,17,Female,11,3.3,62,Postgraduate,No,No,99,51,90,44,80.0,Good,Pass,80.0,2-4 Hours,60-75%
S3096,16,Male,9,3.8,73,Postgraduate,Yes,Yes,100,86,42,48,76.0,Good,Pass,76.0,2-4 Hours,60-75%
S3097,17,Female,11,1.6,72,Postgraduate,Yes,Yes,51,62,71,54,61.33,Average,Pass,61.33,0-2 Hours,60-75%
S3098,18,Male,9,6.0,62,Graduate,No,Yes,74,71,59,74,68.0,Good,Pass,68.0,4-6 Hours,60-75%
S3099,14,Female,9,3.6,57,Postgraduate,No,Yes,98,59,43,77,66.67,Good,Pass,66.67,2-4 Hours,Below 60%
S3100,17,Female,9,3.7,90,Postgraduate,Yes,Yes,89,65,35,88,63.0,Average,Pass,63.0,2-4 Hours,75-90%
S3101,19,Male,12,3.5,90,Postgraduate,Yes,Yes,68,67,55,69,63.33,Average,Pass,63.33,2-4 Hours,75-90%
S3102,16,Female,11,1.0,97,Postgraduate,No,Yes,36,62,40,70,46.0,Poor,Fail,46.0,0-2 Hours,90-100%
S3103,15,Male,9,1.2,69,High School,Yes,No,44,50,85,44,59.67,Average,Pass,59.67,0-2 Hours,60-75%
S3104,16,Male,11,2.1,92,Postgraduate,No,No,69,96,77,66,80.67,Good,Pass,80.67,2-4 Hours,90-100%
S3105,17,Male,10,0.5,66,Postgraduate,Yes,No,68,62,44,74,58.0,Average,Pass,58.0,0-2 Hours,60-75%
